"player_id","player_name","signing_team","signing_year","last_left_season","years_away"
8474102,"David Perron","STL",2016,2013,3
8474102,"David Perron","STL",2018,2013,5
8476979,"Erik Gustafsson","CHI",2021,2019,2
8476918,"Jimmy Vesey","NYR",2022,2019,3
8476480,"Vladislav Namestnikov","TBL",2022,2017,5
8475149,"Marcus Johansson","WSH",2022,2017,5
8478046,"Danton Heinen","BOS",2023,2019,4
8479465,"Drake Caggiula","EDM",2023,2018,5
8475179,"Dmitry Kulikov","FLA",2023,2016,7
8471677,"Jack Johnson","CBJ",2024,2018,6
8476391,"T.J. Tynan","COL",2024,2020,4
8478841,"Colton White","NJD",2024,2022,2
8476474,"Stefan Noesen","NJD",2024,2019,5
8475246,"Kevin Connauton","UTA",2024,2019,5
8477944,"Jakub Vrana","WSH",2024,2020,4
8477944,"Jakub Vrana","WSH",2024,2020,4
